#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000653415.1	PRJNA235534	SAMN02586024	JJVZ00000000.1	na	1448529	1773	Mycobacterium tuberculosis TKK_05SA_0014	strain=TKK_05SA_0014		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0014_V1	Broad Institute	GCF_000653415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/415/GCA_000653415.1_Myco_tube_TKK_05SA_0014_V1		
GCA_000653435.1	PRJNA235535	SAMN02586025	JJVY00000000.1	na	1448530	1773	Mycobacterium tuberculosis TKK_05SA_0016	strain=TKK_05SA_0016		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0016_V1	Broad Institute	GCF_000653435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/435/GCA_000653435.1_Myco_tube_TKK_05SA_0016_V1		
GCA_000653455.1	PRJNA235536	SAMN02586026	JJVX00000000.1	na	1448531	1773	Mycobacterium tuberculosis TKK_05SA_0017	strain=TKK_05SA_0017		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0017_V1	Broad Institute	GCF_000653455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/455/GCA_000653455.1_Myco_tube_TKK_05SA_0017_V1		
GCA_000653475.1	PRJNA235537	SAMN02586027	JJVW00000000.1	na	1448532	1773	Mycobacterium tuberculosis TKK_05SA_0018	strain=TKK_05SA_0018		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0018_V1	Broad Institute	GCF_000653475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/475/GCA_000653475.1_Myco_tube_TKK_05SA_0018_V1		
GCA_000653495.1	PRJNA235538	SAMN02586028	JJVV00000000.1	na	1448533	1773	Mycobacterium tuberculosis TKK_05SA_0019	strain=TKK_05SA_0019		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0019_V1	Broad Institute	GCF_000653495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/495/GCA_000653495.1_Myco_tube_TKK_05SA_0019_V1		
GCA_000653515.1	PRJNA235540	SAMN02586030	JJVT00000000.1	na	1448535	1773	Mycobacterium tuberculosis TKK_05SA_0021	strain=TKK_05SA_0021		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0021_V1	Broad Institute	GCF_000653515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/515/GCA_000653515.1_Myco_tube_TKK_05SA_0021_V1		
GCA_000653535.1	PRJNA235541	SAMN02586031	JJVS00000000.1	na	1448536	1773	Mycobacterium tuberculosis TKK_05SA_0023	strain=TKK_05SA_0023		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0023_V1	Broad Institute	GCF_000653535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/535/GCA_000653535.1_Myco_tube_TKK_05SA_0023_V1		
GCA_000653555.1	PRJNA235543	SAMN02586033	JJVQ00000000.1	na	1448538	1773	Mycobacterium tuberculosis TKK_05SA_0025	strain=TKK_05SA_0025		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0025_V1	Broad Institute	GCF_000653555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/555/GCA_000653555.1_Myco_tube_TKK_05SA_0025_V1		
GCA_000653575.1	PRJNA235545	SAMN02586035	JJVO00000000.1	na	1448540	1773	Mycobacterium tuberculosis TKK_05SA_0031	strain=TKK_05SA_0031		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0031_V1	Broad Institute	GCF_000653575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/575/GCA_000653575.1_Myco_tube_TKK_05SA_0031_V1		
GCA_000653595.1	PRJNA235547	SAMN02586037	JJVN00000000.1	na	1448542	1773	Mycobacterium tuberculosis TKK_05SA_0036	strain=TKK_05SA_0036		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0036_V1	Broad Institute	GCF_000653595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/595/GCA_000653595.1_Myco_tube_TKK_05SA_0036_V1		
GCA_000653615.1	PRJNA235549	SAMN02586039	JJVM00000000.1	na	1448544	1773	Mycobacterium tuberculosis TKK_05SA_0041	strain=TKK_05SA_0041		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0041_V1	Broad Institute	GCF_000653615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/615/GCA_000653615.1_Myco_tube_TKK_05SA_0041_V1		
GCA_000653635.1	PRJNA235550	SAMN02586040	JJVL00000000.1	na	1448545	1773	Mycobacterium tuberculosis TKK_05SA_0042	strain=TKK_05SA_0042		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0042_V1	Broad Institute	GCF_000653635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/635/GCA_000653635.1_Myco_tube_TKK_05SA_0042_V1		
GCA_000653655.1	PRJNA235551	SAMN02586041	JJVK00000000.1	na	1448546	1773	Mycobacterium tuberculosis TKK_05SA_0043	strain=TKK_05SA_0043		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0043_V1	Broad Institute	GCF_000653655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/655/GCA_000653655.1_Myco_tube_TKK_05SA_0043_V1		
GCA_000653675.1	PRJNA235552	SAMN02586042	JJVJ00000000.1	na	1448547	1773	Mycobacterium tuberculosis TKK_05SA_0044	strain=TKK_05SA_0044		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0044_V1	Broad Institute	GCF_000653675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/675/GCA_000653675.1_Myco_tube_TKK_05SA_0044_V1		
GCA_000653695.1	PRJNA235553	SAMN02586043	JJVI00000000.1	na	1448548	1773	Mycobacterium tuberculosis TKK_05SA_0046	strain=TKK_05SA_0046		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0046_V1	Broad Institute	GCF_000653695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/695/GCA_000653695.1_Myco_tube_TKK_05SA_0046_V1		
GCA_000653715.1	PRJNA235554	SAMN02586044	JJVH00000000.1	na	1448549	1773	Mycobacterium tuberculosis TKK_05SA_0047	strain=TKK_05SA_0047		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0047_V1	Broad Institute	GCF_000653715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/715/GCA_000653715.1_Myco_tube_TKK_05SA_0047_V1		
GCA_000653735.1	PRJNA235555	SAMN02586045	JJVG00000000.1	na	1448550	1773	Mycobacterium tuberculosis TKK_05SA_0048	strain=TKK_05SA_0048		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0048_V1	Broad Institute	GCF_000653735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/735/GCA_000653735.1_Myco_tube_TKK_05SA_0048_V1		
GCA_000653755.1	PRJNA235556	SAMN02586046	JJVF00000000.1	na	1448551	1773	Mycobacterium tuberculosis TKK_05SA_0050	strain=TKK_05SA_0050		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0050_V1	Broad Institute	GCF_000653755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/755/GCA_000653755.1_Myco_tube_TKK_05SA_0050_V1		
GCA_000653775.1	PRJNA235557	SAMN02586047	JJVE00000000.1	na	1448552	1773	Mycobacterium tuberculosis TKK_05SA_0052	strain=TKK_05SA_0052		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0052_V1	Broad Institute	GCF_000653775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/775/GCA_000653775.1_Myco_tube_TKK_05SA_0052_V1		
GCA_000653795.1	PRJNA235559	SAMN02586049	JJVD00000000.1	na	1448554	1773	Mycobacterium tuberculosis TKK_05SA_0054	strain=TKK_05SA_0054		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0054_V1	Broad Institute	GCF_000653795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/795/GCA_000653795.1_Myco_tube_TKK_05SA_0054_V1		
GCA_000653815.1	PRJNA235560	SAMN02586050	JJVC00000000.1	na	1448555	1773	Mycobacterium tuberculosis TKK_05SA_0055	strain=TKK_05SA_0055		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0055_V1	Broad Institute	GCF_000653815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/815/GCA_000653815.1_Myco_tube_TKK_05SA_0055_V1		
GCA_000653835.1	PRJNA235561	SAMN02586051	JJVB00000000.1	na	1448556	1773	Mycobacterium tuberculosis TKK_05SA_0058	strain=TKK_05SA_0058		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_05SA_0058_V1	Broad Institute	GCF_000653835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/835/GCA_000653835.1_Myco_tube_TKK_05SA_0058_V1		
GCA_000653855.1	PRJNA235564	SAMN02586054	JJVA00000000.1	na	1448559	1773	Mycobacterium tuberculosis TKK_04_0074	strain=TKK_04_0074		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0074_V1	Broad Institute	GCF_000653855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/855/GCA_000653855.1_Myco_tube_TKK_04_0074_V1		
GCA_000653875.1	PRJNA235565	SAMN02586055	JJUZ00000000.1	na	1448560	1773	Mycobacterium tuberculosis TKK_04_0085	strain=TKK_04_0085		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0085_V1	Broad Institute	GCF_000653875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/875/GCA_000653875.1_Myco_tube_TKK_04_0085_V1		
GCA_000653895.1	PRJNA235566	SAMN02586056	JJUY00000000.1	na	1448561	1773	Mycobacterium tuberculosis TKK_04_0089	strain=TKK_04_0089		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0089_V1	Broad Institute	GCF_000653895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/895/GCA_000653895.1_Myco_tube_TKK_04_0089_V1		
GCA_000653915.1	PRJNA235567	SAMN02586057	JJUX00000000.1	na	1448562	1773	Mycobacterium tuberculosis TKK_04_0090	strain=TKK_04_0090		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0090_V1	Broad Institute	GCF_000653915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/915/GCA_000653915.1_Myco_tube_TKK_04_0090_V1		
GCA_000653935.1	PRJNA235568	SAMN02586058	JJUW00000000.1	na	1448563	1773	Mycobacterium tuberculosis TKK_04_0094	strain=TKK_04_0094		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0094_V1	Broad Institute	GCF_000653935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/935/GCA_000653935.1_Myco_tube_TKK_04_0094_V1		
GCA_000653955.1	PRJNA235570	SAMN02586060	JJUU00000000.1	na	1448565	1773	Mycobacterium tuberculosis TKK_04_0096	strain=TKK_04_0096		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0096_V1	Broad Institute	GCF_000653955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/955/GCA_000653955.1_Myco_tube_TKK_04_0096_V1		
GCA_000653975.1	PRJNA235572	SAMN02586062	JJUS00000000.1	na	1448567	1773	Mycobacterium tuberculosis TKK_04_0098	strain=TKK_04_0098		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0098_V1	Broad Institute	GCF_000653975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/975/GCA_000653975.1_Myco_tube_TKK_04_0098_V1		
GCA_000653995.1	PRJNA235573	SAMN02586063	JJUR00000000.1	na	1448568	1773	Mycobacterium tuberculosis TKK_04_0099	strain=TKK_04_0099		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0099_V1	Broad Institute	GCF_000653995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/653/995/GCA_000653995.1_Myco_tube_TKK_04_0099_V1		
GCA_000654015.1	PRJNA235574	SAMN02586064	JJUQ00000000.1	na	1448569	1773	Mycobacterium tuberculosis TKK_04_0103	strain=TKK_04_0103		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0103_V1	Broad Institute	GCF_000654015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/015/GCA_000654015.1_Myco_tube_TKK_04_0103_V1		
GCA_000654035.1	PRJNA235575	SAMN02586065	JJUP00000000.1	na	1448570	1773	Mycobacterium tuberculosis TKK_04_0105	strain=TKK_04_0105		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0105_V1	Broad Institute	GCF_000654035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/035/GCA_000654035.1_Myco_tube_TKK_04_0105_V1		
GCA_000654055.1	PRJNA235576	SAMN02586066	JJUO00000000.1	na	1448571	1773	Mycobacterium tuberculosis TKK_04_0106	strain=TKK_04_0106		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0106_V1	Broad Institute	GCF_000654055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/055/GCA_000654055.1_Myco_tube_TKK_04_0106_V1		
GCA_000654075.1	PRJNA235577	SAMN02586067	JJUN00000000.1	na	1448572	1773	Mycobacterium tuberculosis TKK_04_0107	strain=TKK_04_0107		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0107_V1	Broad Institute	GCF_000654075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/075/GCA_000654075.1_Myco_tube_TKK_04_0107_V1		
GCA_000654095.1	PRJNA235579	SAMN02586069	JJUL00000000.1	na	1448574	1773	Mycobacterium tuberculosis TKK_04_0109	strain=TKK_04_0109		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0109_V1	Broad Institute	GCF_000654095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/095/GCA_000654095.1_Myco_tube_TKK_04_0109_V1		
GCA_000654115.1	PRJNA235581	SAMN02586071	JJUJ00000000.1	na	1448576	1773	Mycobacterium tuberculosis TKK_04_0113	strain=TKK_04_0113		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0113_V1	Broad Institute	GCF_000654115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/115/GCA_000654115.1_Myco_tube_TKK_04_0113_V1		
GCA_000654135.1	PRJNA235582	SAMN02586072	JJUI00000000.1	na	1448577	1773	Mycobacterium tuberculosis TKK_04_0114	strain=TKK_04_0114		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0114_V1	Broad Institute	GCF_000654135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/135/GCA_000654135.1_Myco_tube_TKK_04_0114_V1		
GCA_000654155.1	PRJNA235584	SAMN02586074	JJUH00000000.1	na	1448579	1773	Mycobacterium tuberculosis TKK_04_0117	strain=TKK_04_0117		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0117_V1	Broad Institute	GCF_000654155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/155/GCA_000654155.1_Myco_tube_TKK_04_0117_V1		
GCA_000654175.1	PRJNA235587	SAMN02586077	JJUF00000000.1	na	1448582	1773	Mycobacterium tuberculosis TKK_04_0120	strain=TKK_04_0120		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0120_V1	Broad Institute	GCF_000654175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/175/GCA_000654175.1_Myco_tube_TKK_04_0120_V1		
GCA_000654195.1	PRJNA235589	SAMN02586079	JJUE00000000.1	na	1448584	1773	Mycobacterium tuberculosis TKK_04_0122	strain=TKK_04_0122		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0122_V1	Broad Institute	GCF_000654195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/195/GCA_000654195.1_Myco_tube_TKK_04_0122_V1		
GCA_000654215.1	PRJNA235590	SAMN02586080	JJUD00000000.1	na	1448585	1773	Mycobacterium tuberculosis TKK_04_0123	strain=TKK_04_0123		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_TKK_04_0123_V1	Broad Institute	GCF_000654215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/215/GCA_000654215.1_Myco_tube_TKK_04_0123_V1		
GCA_000654235.1	PRJNA235620	SAMN02598956	JKQE00000000.1	na	1448610	1773	Mycobacterium tuberculosis M984	strain=M984		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M984_V1	Broad Institute	GCF_000654235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/235/GCA_000654235.1_Myco_tube_M984_V1		
GCA_000654255.1	PRJNA235621	SAMN02598957	JKQD00000000.1	na	1448611	1773	Mycobacterium tuberculosis M987	strain=M987		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M987_V1	Broad Institute	GCF_000654255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/255/GCA_000654255.1_Myco_tube_M987_V1		
GCA_000654275.1	PRJNA235623	SAMN02598958	JKQC00000000.1	na	1448612	1773	Mycobacterium tuberculosis M990	strain=M990		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M990_V1	Broad Institute	GCF_000654275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/275/GCA_000654275.1_Myco_tube_M990_V1		
GCA_000654295.1	PRJNA235624	SAMN02598959	JKQB00000000.1	na	1448613	1773	Mycobacterium tuberculosis M991	strain=M991		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M991_V1	Broad Institute	GCF_000654295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/295/GCA_000654295.1_Myco_tube_M991_V1		
GCA_000654315.1	PRJNA235625	SAMN02598960	JKQA00000000.1	na	1448614	1773	Mycobacterium tuberculosis M1004	strain=M1004		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1004_V1	Broad Institute	GCF_000654315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/315/GCA_000654315.1_Myco_tube_M1004_V1		
GCA_000654335.1	PRJNA235626	SAMN02598961	JKPZ00000000.1	na	1448615	1773	Mycobacterium tuberculosis M992	strain=M992		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M992_V1	Broad Institute	GCF_000654335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/335/GCA_000654335.1_Myco_tube_M992_V1		
GCA_000654355.1	PRJNA235627	SAMN02598962	JKPY00000000.1	na	1448616	1773	Mycobacterium tuberculosis M995	strain=M995		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M995_V1	Broad Institute	GCF_000654355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/355/GCA_000654355.1_Myco_tube_M995_V1		
GCA_000654375.1	PRJNA235628	SAMN02598963	JKPX00000000.1	na	1448617	1773	Mycobacterium tuberculosis M1007	strain=M1007		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1007_V1	Broad Institute	GCF_000654375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/375/GCA_000654375.1_Myco_tube_M1007_V1		
GCA_000654395.1	PRJNA235629	SAMN02598964	JKPW00000000.1	na	1448618	1773	Mycobacterium tuberculosis M1008	strain=M1008		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1008_V1	Broad Institute	GCF_000654395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/395/GCA_000654395.1_Myco_tube_M1008_V1		
GCA_000654415.1	PRJNA235630	SAMN02598965	JKPV00000000.1	na	1448619	1773	Mycobacterium tuberculosis M1009	strain=M1009		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1009_V1	Broad Institute	GCF_000654415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/415/GCA_000654415.1_Myco_tube_M1009_V1		
GCA_000654435.1	PRJNA235631	SAMN02598966	JKPU00000000.1	na	1448620	1773	Mycobacterium tuberculosis M1010	strain=M1010		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1010_V1	Broad Institute	GCF_000654435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/435/GCA_000654435.1_Myco_tube_M1010_V1		
GCA_000654455.1	PRJNA235632	SAMN02598967	JKPT00000000.1	na	1448621	1773	Mycobacterium tuberculosis M1012	strain=M1012		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1012_V1	Broad Institute	GCF_000654455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/455/GCA_000654455.1_Myco_tube_M1012_V1		
GCA_000654475.1	PRJNA235633	SAMN02598968	JKPS00000000.1	na	1448622	1773	Mycobacterium tuberculosis M1011	strain=M1011		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1011_V1	Broad Institute	GCF_000654475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/475/GCA_000654475.1_Myco_tube_M1011_V1		
GCA_000654495.1	PRJNA235634	SAMN02598969	JKPR00000000.1	na	1448623	1773	Mycobacterium tuberculosis M1017	strain=M1017		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1017_V1	Broad Institute	GCF_000654495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/495/GCA_000654495.1_Myco_tube_M1017_V1		
GCA_000654515.1	PRJNA235635	SAMN02598970	JKPQ00000000.1	na	1448624	1773	Mycobacterium tuberculosis M1021	strain=M1021		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1021_V1	Broad Institute	GCF_000654515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/515/GCA_000654515.1_Myco_tube_M1021_V1		
GCA_000654535.1	PRJNA235636	SAMN02598971	JKPP00000000.1	na	1448625	1773	Mycobacterium tuberculosis M1023	strain=M1023		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1023_V1	Broad Institute	GCF_000654535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/535/GCA_000654535.1_Myco_tube_M1023_V1		
GCA_000654555.1	PRJNA235637	SAMN02598972	JKPO00000000.1	na	1448626	1773	Mycobacterium tuberculosis M1022	strain=M1022		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1022_V1	Broad Institute	GCF_000654555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/555/GCA_000654555.1_Myco_tube_M1022_V1		
GCA_000654575.1	PRJNA235638	SAMN02598973	JKPN00000000.1	na	1448627	1773	Mycobacterium tuberculosis M1024	strain=M1024		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1024_V1	Broad Institute	GCF_000654575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/575/GCA_000654575.1_Myco_tube_M1024_V1		
GCA_000654595.1	PRJNA235639	SAMN02598974	JKPM00000000.1	na	1448628	1773	Mycobacterium tuberculosis M1025	strain=M1025		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1025_V1	Broad Institute	GCF_000654595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/595/GCA_000654595.1_Myco_tube_M1025_V1		
GCA_000654615.1	PRJNA235640	SAMN02598975	JKPL00000000.1	na	1448629	1773	Mycobacterium tuberculosis M1026	strain=M1026		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1026_V1	Broad Institute	GCF_000654615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/615/GCA_000654615.1_Myco_tube_M1026_V1		
GCA_000654635.1	PRJNA235643	SAMN02598978	JKPI00000000.1	na	1448632	1773	Mycobacterium tuberculosis M1034	strain=M1034		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1034_V1	Broad Institute	GCF_000654635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/635/GCA_000654635.1_Myco_tube_M1034_V1		
GCA_000654655.1	PRJNA235644	SAMN02598979	JKPH00000000.1	na	1448633	1773	Mycobacterium tuberculosis M1210	strain=M1210		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1210_V1	Broad Institute	GCF_000654655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/655/GCA_000654655.1_Myco_tube_M1210_V1		
GCA_000654675.1	PRJNA235645	SAMN02598980	JKPG00000000.1	na	1448634	1773	Mycobacterium tuberculosis M1212	strain=M1212		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1212_V1	Broad Institute	GCF_000654675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/675/GCA_000654675.1_Myco_tube_M1212_V1		
GCA_000654695.1	PRJNA235646	SAMN02598981	JKPF00000000.1	na	1448635	1773	Mycobacterium tuberculosis M1213	strain=M1213		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1213_V1	Broad Institute	GCF_000654695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/695/GCA_000654695.1_Myco_tube_M1213_V1		
GCA_000654715.1	PRJNA235647	SAMN02598982	JKPE00000000.1	na	1448636	1773	Mycobacterium tuberculosis M1215	strain=M1215		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1215_V1	Broad Institute	GCF_000654715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/715/GCA_000654715.1_Myco_tube_M1215_V1		
GCA_000654735.1	PRJNA235648	SAMN02598983	JKPD00000000.1	na	1448637	1773	Mycobacterium tuberculosis M1221	strain=M1221		latest	Scaffold	Major	Full	2014/04/29	Myco_tube_M1221_V1	Broad Institute	GCF_000654735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/654/735/GCA_000654735.1_Myco_tube_M1221_V1		
